2020-01-30T01:02:59.167356276Z | TRACE | Trace line
2020-01-30T01:02:59.167515416Z | PANIC | Panic line
2020-01-30T01:02:59.167575586Z | FATAL | Fatal line
2020-01-30T01:02:59.167610304Z | ERROR | Error line
2020-01-30T01:02:59.167641211Z | WAARN | Warning line
2020-01-30T01:02:59.167673902Z | INFOO | Info line
2020-01-30T01:02:59.167705178Z | DEBUG | Debug line
2020-01-30T01:02:59.357540320Z | ERROR |  LOG-TAG-3 Error line
2020-01-30T01:02:59.357617206Z | ERROR |  LOG-TAG-3 Error line
2020-01-30T01:02:59.357641528Z | ERROR |  LOG-TAG-3      -> Error line
2020-01-30T01:02:59.357646988Z | ERROR |  LOG-TAG-3          -> Error line
2020-01-30T01:02:59.357707096Z | INFOO |  LOG-TAG-1 Info line
2020-01-30T01:02:59.357722288Z | INFOO |  LOG-TAG-1 Info line
2020-01-30T01:02:59.357728903Z | INFOO |  LOG-TAG-1      -> Info line
2020-01-30T01:02:59.357733763Z | INFOO |  LOG-TAG-1          -> Info line
2020-01-30T01:02:59.357736528Z | WAARN |  LOG-TAG-2 Warning line
2020-01-30T01:02:59.357740535Z | WAARN |  LOG-TAG-2 Warning line
2020-01-30T01:02:59.357743945Z | WAARN |  LOG-TAG-2      -> Warning line
2020-01-30T01:02:59.357747791Z | WAARN |  LOG-TAG-2          -> Warning line
2020-01-30T01:04:41.897713348Z | TRACE | Trace line
2020-01-30T01:04:41.897802359Z | PANIC | Panic line
2020-01-30T01:04:41.897828594Z | FATAL | Fatal line
2020-01-30T01:04:41.897850089Z | ERROR | Error line
2020-01-30T01:04:41.897870430Z | WAARN | Warning line
2020-01-30T01:04:41.897896290Z | INFOO | Info line
2020-01-30T01:04:41.897918390Z | DEBUG | Debug line
2020-01-30T01:04:59.180121806Z | TRACE | Trace line
2020-01-30T01:04:59.180175937Z | PANIC | Panic line
2020-01-30T01:04:59.180188467Z | FATAL | Fatal line
2020-01-30T01:04:59.180198087Z | ERROR | Error line
2020-01-30T01:04:59.180206812Z | WAARN | Warning line
2020-01-30T01:04:59.180215557Z | INFOO | Info line
2020-01-30T01:04:59.180224239Z | DEBUG | Debug line
2020-01-30T01:04:59.180292286Z | ERROR |  LOG-TAG-3 Error line
2020-01-30T01:04:59.180310027Z | ERROR |  LOG-TAG-3 Error line
2020-01-30T01:04:59.180310970Z | ERROR |  LOG-TAG-3      -> Error line
2020-01-30T01:04:59.180318250Z | ERROR |  LOG-TAG-3          -> Error line
2020-01-30T01:04:59.180319373Z | INFOO |  LOG-TAG-1 Info line
2020-01-30T01:04:59.180321211Z | INFOO |  LOG-TAG-1 Info line
2020-01-30T01:04:59.180322191Z | INFOO |  LOG-TAG-1      -> Info line
2020-01-30T01:04:59.180333792Z | INFOO |  LOG-TAG-1          -> Info line
2020-01-30T01:04:59.180319531Z | WAARN |  LOG-TAG-2 Warning line
2020-01-30T01:04:59.180336823Z | WAARN |  LOG-TAG-2 Warning line
2020-01-30T01:04:59.180337597Z | WAARN |  LOG-TAG-2      -> Warning line
2020-01-30T01:04:59.180338401Z | WAARN |  LOG-TAG-2          -> Warning line
2020-01-30T03:16:29.242707746Z | TRACE | Trace line
2020-01-30T03:16:29.242801108Z | PANIC | Panic line
2020-01-30T03:16:29.242809760Z | FATAL | Fatal line
2020-01-30T03:16:29.242817523Z | ERROR | Error line
2020-01-30T03:16:29.242824435Z | WAARN | Warning line
2020-01-30T03:16:29.242831185Z | INFOO | Info line
2020-01-30T03:16:29.242837789Z | DEBUG | Debug line
2020-01-30T03:16:29.242908783Z | ERROR |  LOG-TAG-3 Error line
2020-01-30T03:16:29.242947470Z | ERROR |  LOG-TAG-3 Error line
2020-01-30T03:16:29.242948631Z | ERROR |  LOG-TAG-3      -> Error line
2020-01-30T03:16:29.242955520Z | ERROR |  LOG-TAG-3          -> Error line
2020-01-30T03:16:29.242947584Z | INFOO |  LOG-TAG-1 Info line
2020-01-30T03:16:29.242981529Z | INFOO |  LOG-TAG-1 Info line
2020-01-30T03:16:29.242982481Z | INFOO |  LOG-TAG-1      -> Info line
2020-01-30T03:16:29.242992636Z | INFOO |  LOG-TAG-1          -> Info line
2020-01-30T03:16:29.242956214Z | WAARN |  LOG-TAG-2 Warning line
2020-01-30T03:16:29.242957120Z | WAARN |  LOG-TAG-2 Warning line
2020-01-30T03:16:29.242957847Z | WAARN |  LOG-TAG-2      -> Warning line
2020-01-30T03:16:29.242958544Z | WAARN |  LOG-TAG-2          -> Warning line
2020-01-30T03:19:31.841196446Z | TRACE | Trace line
2020-01-30T03:19:31.841275287Z | PANIC | Panic line
2020-01-30T03:19:31.841290954Z | FATAL | Fatal line
2020-01-30T03:19:31.841304659Z | ERROR | Error line
2020-01-30T03:19:31.841324004Z | WAARN | Warning line
2020-01-30T03:19:31.841335163Z | INFOO | Info line
2020-01-30T03:19:31.841345310Z | DEBUG | Debug line
2020-01-30T03:19:31.841437712Z | ERROR |  LOG-TAG-3 Error line
2020-01-30T03:19:31.841461496Z | ERROR |  LOG-TAG-3 Error line
2020-01-30T03:19:31.841463290Z | ERROR |  LOG-TAG-3      -> Error line
2020-01-30T03:19:31.841482003Z | ERROR |  LOG-TAG-3          -> Error line
2020-01-30T03:19:31.841448727Z | INFOO |  LOG-TAG-1 Info line
2020-01-30T03:19:31.841483545Z | INFOO |  LOG-TAG-1 Info line
2020-01-30T03:19:31.841484590Z | INFOO |  LOG-TAG-1      -> Info line
2020-01-30T03:19:31.841485684Z | INFOO |  LOG-TAG-1          -> Info line
2020-01-30T03:19:31.841485634Z | WAARN |  LOG-TAG-2 Warning line
2020-01-30T03:19:31.841525459Z | WAARN |  LOG-TAG-2 Warning line
2020-01-30T03:19:31.841529552Z | WAARN |  LOG-TAG-2      -> Warning line
